,loss,categorical_accuracy,auc_2,val_loss,val_categorical_accuracy,val_auc_2
0,1.0667325258255005,0.8608333468437195,0.94529789686203,0.1469908356666565,0.9454166889190674,0.9936560988426208
1,0.28607791662216187,0.9040625095367432,0.9788064956665039,0.11982119083404541,0.9604166746139526,0.9950746893882751
2,0.2286057472229004,0.9231250286102295,0.9856152534484863,0.1207413449883461,0.9579166769981384,0.9951820969581604
3,0.22083841264247894,0.9286458492279053,0.9869285225868225,0.43831339478492737,0.8479166626930237,0.9602612257003784
4,0.1956062763929367,0.9309375286102295,0.9893559217453003,0.1022975891828537,0.965833306312561,0.9959589242935181
5,0.20289979875087738,0.9355208277702332,0.9882010817527771,0.2085602581501007,0.9412500262260437,0.9880448579788208
6,0.24437940120697021,0.9163541793823242,0.9838306307792664,0.11044471710920334,0.9641666412353516,0.9966091513633728
7,0.21860629320144653,0.9285416603088379,0.9866801500320435,0.09522102773189545,0.9666666388511658,0.996837317943573
8,0.16819585859775543,0.9494791626930237,0.9913427233695984,0.09340029954910278,0.9708333611488342,0.996119499206543
9,0.1656140238046646,0.9508333206176758,0.991338849067688,0.14303076267242432,0.9362499713897705,0.993948757648468
