,loss,categorical_accuracy,auc,val_loss,val_categorical_accuracy,val_auc
0,0.4201170802116394,0.833020806312561,0.9538949728012085,0.24565638601779938,0.9012500047683716,0.9826422333717346
1,0.2225189208984375,0.9237499833106995,0.9854419231414795,0.2989577651023865,0.893750011920929,0.9762581586837769
2,0.1701393723487854,0.9398958086967468,0.9908385872840881,0.2063831388950348,0.9474999904632568,0.9866898655891418
3,0.15336251258850098,0.9457291960716248,0.9924362301826477,0.14542898535728455,0.95333331823349,0.9933106303215027
4,0.10821887850761414,0.9605208039283752,0.9960805177688599,0.14472366869449615,0.9541666507720947,0.9933770895004272
5,0.10175792127847672,0.9622916579246521,0.9960166811943054,0.17580154538154602,0.95333331823349,0.9903022646903992
6,0.08984535932540894,0.9707291722297668,0.9967191815376282,0.14717164635658264,0.9599999785423279,0.9921572208404541
7,0.08262994885444641,0.9726041555404663,0.9970992207527161,0.13952387869358063,0.9574999809265137,0.9931241869926453
8,0.07096660137176514,0.9766666889190674,0.9974548816680908,0.1538539081811905,0.9583333134651184,0.9923188090324402
9,0.06244604289531708,0.9804166555404663,0.9980246424674988,0.1708228886127472,0.9570833444595337,0.9891230463981628
10,0.049687329679727554,0.9833333492279053,0.9987412095069885,0.12437514960765839,0.9641666412353516,0.9952181577682495
11,0.0609416626393795,0.9804166555404663,0.9978276491165161,0.13211219012737274,0.9624999761581421,0.9929176568984985
12,0.047161705791950226,0.9833333492279053,0.9989072680473328,0.23313023149967194,0.9604166746139526,0.9875932335853577
13,0.051834285259246826,0.98458331823349,0.9983378648757935,0.27739185094833374,0.9470833539962769,0.9847670197486877
