,loss,categorical_accuracy,auc,val_loss,val_categorical_accuracy,val_auc
0,0.4380655288696289,0.8164583444595337,0.9491279721260071,0.16515789926052094,0.9449999928474426,0.9909088611602783
1,0.19133995473384857,0.9369791746139526,0.9884647727012634,0.16783787310123444,0.9483333230018616,0.9901615381240845
2,0.147568479180336,0.9512500166893005,0.9922975301742554,0.1282109171152115,0.9595833420753479,0.9942265152931213
3,0.1170407384634018,0.9601041674613953,0.9950358867645264,0.11426997929811478,0.9641666412353516,0.9953112006187439
4,0.09661136567592621,0.9659374952316284,0.9963312745094299,0.09275349974632263,0.9729166626930237,0.996407151222229
5,0.09404584020376205,0.9682291746139526,0.9961052536964417,0.09988172352313995,0.9708333611488342,0.994721531867981
6,0.0774059072136879,0.9740625023841858,0.9976897835731506,0.11397422850131989,0.971666693687439,0.9943806529045105
7,0.06756880134344101,0.9765625,0.9980565309524536,0.09259612113237381,0.9729166626930237,0.9960154891014099
8,0.06074926257133484,0.9805208444595337,0.9979334473609924,0.0818486362695694,0.9758333563804626,0.996773362159729
9,0.062004204839468,0.9806249737739563,0.9977731108665466,0.09170054644346237,0.9750000238418579,0.9958142638206482
